mercado,produto,nome,preco,link
Redemix,arroz,ARROZ INTEGRAL CAMIL 1KG,8.98,https://www.redemix.com.br/mercearia/graos-e-farinaceos/arroz/arroz?O=OrderByTopSaleDESC&PS=18#3
Mercantil,feijão,Feijão Carioca Kicaldo 1Kg,6.99,https://www.mercantilatacado.com.br/feijão
Mercantil,feijão,Feijão Preto Kicaldo Tipo 1 1Kg,7.39,https://www.mercantilatacado.com.br/feijão
Mercantil,feijão,Feijão Carioca Rio Imperial Tipo 1 1Kg,5.75,https://www.mercantilatacado.com.br/feijão
Mercantil,feijão,Feijão Carioca Popular 1Kg,4.29,https://www.mercantilatacado.com.br/feijão
Mercantil,feijão,Feijão Preto Rio Imperial 1Kg,6.19,https://www.mercantilatacado.com.br/feijão
Mercantil,feijão,Feijão Fradinho Rio Imperial 500g,3.69,https://www.mercantilatacado.com.br/feijão
Mercantil,feijão,Feijão Preto Kicaldo 500g,4.59,https://www.mercantilatacado.com.br/feijão
Mercantil,feijão,Feijão Branco Kicaldo 500g,9.29,https://www.mercantilatacado.com.br/feijão
Mercantil,feijão,Feijão Preto Dular 500g,4.05,https://www.mercantilatacado.com.br/feijão
Mercantil,feijão,Feijão Fradinho Manolinho 1Kg,7.49,https://www.mercantilatacado.com.br/feijão
Mercantil,feijão,Feijão Preto Manolinho 1Kg,9.19,https://www.mercantilatacado.com.br/feijão
Mercantil,feijão,Feijão Fradinho Rio Imperial Tipo 2 1Kg,6.35,https://www.mercantilatacado.com.br/feijão
Mercantil,feijão,Feijão Mulatinho Rio Imperial 1Kg,9.99,https://www.mercantilatacado.com.br/feijão
Mercantil,feijão,Feijão Branco Dular 500g,9.99,https://www.mercantilatacado.com.br/feijão
Mercantil,feijão,Tempero Maratá P/ Feijão Pacote 60g,3.25,https://www.mercantilatacado.com.br/feijão
Mercantil,feijão,"Tempero em Pó Kitano p/ Feijão Cebola, Louro e Bacon Mais Sabor Pacote 60g c/ 12 Unid",4.89,https://www.mercantilatacado.com.br/feijão
